156061,2
156062,2
156063,-2147483648
156064,2
156065,2
156066,3
156067,3
156068,2
156069,3
156070,-2147483648
156071,2
156072,2
156073,2
156074,2
156075,-2147483648
156076,2
156077,-2147483648
156078,2
156079,2
156080,2
156081,-2147483648
156082,2
156083,2
156084,2
156085,-2147483648
156086,2
156087,2
156088,2
156089,2
156090,-2147483648
156091,2
156092,2
156093,2
156094,3
156095,-2147483648
156096,3
156097,2
156098,2
156099,2
156100,2
156101,-2147483648
156102,2
156103,-2147483648
156104,-2147483648
156105,-2147483648
156106,-2147483648
156107,-2147483648
156108,2
156109,-2147483648
156110,2
156111,2
156112,2
156113,2
156114,-2147483648
156115,-2147483648
156116,-2147483648
156117,-2147483648
156118,-2147483648
156119,-2147483648
156120,-2147483648
156121,-2147483648
156122,-2147483648
156123,-2147483648
156124,-2147483648
156125,-2147483648
156126,2
156127,2
156128,2
156129,-2147483648
156130,2
156131,2
156132,2
156133,2
156134,2
156135,2
156136,3
156137,-2147483648
156138,3
156139,3
156140,3
156141,2
156142,3
156143,2
156144,2
156145,-2147483648
156146,2
156147,3
156148,3
156149,3
156150,-2147483648
156151,3
156152,-2147483648
156153,3
156154,2
156155,2
156156,-2147483648
156157,2
156158,2
156159,2
156160,2
156161,2
156162,2
156163,2
156164,-2147483648
156165,2
156166,2
156167,-2147483648
156168,2
156169,2
156170,2
156171,2
156172,2
156173,1
156174,2
156175,2
156176,2
156177,3
156178,2
156179,-2147483648
156180,2
156181,2
156182,2
156183,2
156184,1
156185,2
156186,2
156187,2
156188,2
156189,2
156190,2
156191,3
156192,3
156193,3
156194,3
156195,2
156196,3
156197,3
156198,3
156199,-2147483648
156200,-2147483648
156201,2
156202,2
156203,2
156204,2
156205,2
156206,3
156207,2
156208,1
156209,2
156210,2
156211,2
156212,2
156213,-2147483648
156214,-2147483648
156215,-2147483648
156216,-2147483648
156217,-2147483648
156218,-2147483648
156219,2
156220,-2147483648
156221,2
156222,2
156223,2
156224,2
156225,2
156226,2
156227,2
156228,-2147483648
156229,2
156230,2
156231,2
156232,-2147483648
156233,2
156234,3
156235,2
156236,3
156237,2
156238,3
156239,3
156240,3
156241,3
156242,3
156243,3
156244,3
156245,3
156246,3
156247,3
156248,3
156249,2
156250,2
156251,2
156252,2
156253,2
156254,2
156255,2
156256,2
156257,2
156258,1
156259,2
156260,2
156261,2
156262,2
156263,2
156264,2
156265,-2147483648
156266,2
156267,2
156268,2
156269,2
156270,2
156271,-2147483648
156272,2
156273,-2147483648
156274,2
156275,2
156276,2
156277,2
156278,2
156279,2
156280,2
156281,3
156282,3
156283,3
156284,2
156285,2
156286,2
156287,2
156288,2
156289,2
156290,2
156291,2
156292,2
156293,2
156294,-2147483648
156295,2
156296,2
156297,-2147483648
156298,2
156299,2
156300,2
156301,2
156302,3
156303,3
156304,2
156305,2
156306,2
156307,2
156308,2
156309,2
156310,2
156311,2
156312,2
156313,2
156314,2
156315,2
156316,2
156317,2
156318,2
156319,-2147483648
156320,-2147483648
